_id,time,time_Code,gps_On,gps_Latitude,gps_Longitude,gps_Speed,gps_Accuracy,gps_Altitude,gps_Bearing,gps_Last_Update_Time,network_On,network_Latitude,network_Longitude,network_Speed,network_Accuracy,network_Altitude,network_Bearing,network_Last_Update_Time,accellerometor_Raw_X,accellerometor_Raw_Y,accellerometor_Raw_Z,accellerometor_X_Gs,accellerometor_Y_Gs,accellerometor_Z_Gs,orrientation_Raw_X,orrientation_Raw_Y,orrientation_Raw_Z
30,2011/10/18 13:46:26,1318963586820,1,40.0703971786425,-88.2495816797018,2.68965029716492,10.0,202.599975585938,329.0,1318963602000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.14982382953167,0.394990086555481,10.0109558105469,0.0152881458705785,0.0403051108730083,1.02152610311703,12.453125,177.734375,0.875
31,2011/10/18 13:46:27,1318963587820,1,40.0704178819433,-88.2496146205813,3.12750005722046,10.0,202.799987792969,308.0,1318963603000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.503952860832214,0.503952860832214,9.69768714904785,0.0514237613094096,0.0514237613094096,0.989559913168148,38.453125,177.03125,2.96875
32,2011/10/18 13:46:28,1318963588824,1,40.0704283593223,-88.2496558595449,3.44024991989136,10.0,202.900024414063,298.0,1318963604000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.476712167263031,0.14982382953167,10.3514642715454,0.0486440987003093,0.0152881458705785,1.05627186444341,344.359375,179.15625,2.625
33,2011/10/18 13:46:29,1318963589829,1,40.0704343104735,-88.2497111801058,3.94064998626709,10.0,202.799987792969,287.0,1318963605000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.531193554401398,1.15772950649261,9.88837242126465,0.05420342391851,0.118135663927818,1.0090175940066,42.28125,173.328125,3.046875
34,2011/10/18 13:46:30,1318963590828,1,40.0704274792224,-88.249769769609,3.94064998626709,5.0,202.400024414062,276.0,1318963606000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.217925563454628,1.2258312702179,10.0926780700684,0.0222373023933294,0.125084823491622,1.02986510919065,28.28125,173.078125,1.234375
35,2011/10/18 13:46:31,1318963591828,1,40.0704255932942,-88.2498168759048,3.56535005569458,5.0,201.799987792969,275.0,1318963607000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.449471473693848,0.068101741373539,10.0926780700684,0.0458644360912089,0.00694915728301418,1.02986510919065,283.015625,179.609375,2.546875
36,2011/10/18 13:46:32,1318963592828,1,40.0704235816374,-88.2498574443162,3.12750005722046,5.0,201.599975585938,272.0,1318963608000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,1.13048887252808,0.749119102954865,11.2776479721069,0.115356007400824,0.0764407247913127,1.15078040531703,342.984375,176.21875,5.71875
37,2011/10/18 13:46:33,1318963593830,1,40.0704294070601,-88.2498956657946,2.81474995613098,10.0,201.700012207031,278.0,1318963609000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,1.92046904563904,0.0953424349427223,10.0245761871338,0.195966229146841,0.00972881989211452,1.02291593746263,289.890625,179.46875,10.84375
38,2011/10/18 13:46:34,1318963594831,1,40.0704474700615,-88.249928271398,3.37770009040833,10.0,201.799987792969,323.0,1318963610000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,3.06457829475403,-1.28031265735626,9.90199279785156,0.312712070893268,0.130644148709823,1.0104074283522,261.703125,-172.953125,17.0625
39,2011/10/18 13:46:35,1318963595883,1,40.0704750465229,-88.2499474659562,3.2525999546051,15.0,202.0,334.0,1318963611000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.136203482747078,-1.28031265735626,10.0245761871338,0.0138983145660284,0.130644148709823,1.02291593746263,202.671875,-172.734375,0.78125
